artist,2021-01-02 00:00:00,2021-01-09 00:00:00,2021-01-16 00:00:00,2021-01-23 00:00:00,2021-01-30 00:00:00,2021-02-06 00:00:00,2021-02-13 00:00:00,2021-02-20 00:00:00,2021-02-27 00:00:00,2021-03-06 00:00:00,2021-03-13 00:00:00,2021-03-20 00:00:00,2021-03-27 00:00:00,2021-04-03 00:00:00,2021-04-10 00:00:00,2021-04-17 00:00:00,2021-04-24 00:00:00,2021-05-01 00:00:00,2021-05-08 00:00:00,2021-05-15 00:00:00,2021-05-22 00:00:00,2021-05-29 00:00:00,2021-06-05 00:00:00,2021-06-12 00:00:00,2021-06-19 00:00:00,2021-06-26 00:00:00,2021-07-03 00:00:00,2021-07-10 00:00:00,2021-07-17 00:00:00,2021-07-24 00:00:00,2021-07-31 00:00:00,2021-08-07 00:00:00,2021-08-14 00:00:00,2021-08-21 00:00:00,2021-08-28 00:00:00,2021-09-04 00:00:00,2021-09-11 00:00:00,2021-09-18 00:00:00,2021-09-25 00:00:00,2021-10-02 00:00:00,2021-10-09 00:00:00,2021-10-16 00:00:00,2021-10-23 00:00:00,2021-10-30 00:00:00,2021-11-06 00:00:00
24kGoldn Featuring iann dior,7,1,1,2,3,2,2,5,7,7,7,10,8,10,9,13,18,19,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
AJR,100,11,9,8,9,10,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Aaron Lewis,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Adele,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,1
Andy Williams,5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Ariana Grande,14,2,2,3,2,4,4,6,2,4,4,9,9,11,14,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Ava Max,100,16,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
BIA Featuring Nicki Minaj,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
BTS,100,5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,1,1,1,1,1,1,1,1,1,4,7,8,7,1,17,14,100,100,100,100,100,100
Baby Keem & Kendrick Lamar,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,18,100,100,100,100,100,100,100,100
