Author,Genre,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Abraham Verghese,Fiction,0,1,2,0,0,0,0,0,0,0,0
Adam Gasiewski,Non Fiction,0,0,0,0,0,0,0,0,1,0,0
Adam Mansbach,Fiction,0,0,1,0,0,0,0,0,0,0,0
Adir Levy,Fiction,0,0,0,0,0,0,0,0,0,0,1
Admiral William H. McRaven,Non Fiction,0,0,0,0,0,0,0,0,1,0,0
Adult Coloring Book Designs,Non Fiction,0,0,0,0,0,0,0,1,0,0,0
Alan Moore,Fiction,1,0,0,0,0,0,0,0,0,0,0
Alex Michaelides,Fiction,0,0,0,0,0,0,0,0,0,0,1
Alice Schertle,Fiction,0,0,0,0,0,1,0,0,0,0,0
Allie Brosh,Non Fiction,0,0,0,0,1,0,0,0,0,0,0
American Psychiatric Association,Non Fiction,0,0,0,0,1,2,0,0,0,0,0
American Psychological Association,Non Fiction,1,2,3,4,5,6,7,8,9,10,0
Amor Towles,Fiction,0,0,0,0,0,0,0,0,1,0,0
Amy Ramos,Non Fiction,0,0,0,0,0,0,0,0,0,1,2
Amy Shields,Non Fiction,0,0,0,0,0,0,0,0,0,0,1
Andy Weir,Fiction,0,0,0,0,0,0,1,0,0,0,0
Angie Grace,Non Fiction,0,0,0,0,0,0,1,0,0,0,0
Angie Thomas,Fiction,0,0,0,0,0,0,0,0,0,1,0
Ann Voskamp,Non Fiction,0,0,1,2,0,0,0,0,0,0,0
Ann Whitford Paul,Fiction,0,0,0,0,0,0,0,0,1,0,2
Anthony Bourdain,Non Fiction,0,0,0,0,0,0,0,0,0,1,0
Anthony Doerr,Fiction,0,0,0,0,0,1,2,0,0,0,0
Atul Gawande,Non Fiction,0,0,0,0,0,0,1,0,0,0,0
Audrey Niffenegger,Fiction,1,0,0,0,0,0,0,0,0,0,0
B. J. Novak,Fiction,0,0,0,0,0,1,2,0,0,0,0
Bessel van der Kolk M.D.,Non Fiction,0,0,0,0,0,0,0,0,0,0,1
Bill Martin Jr.,Fiction,0,0,0,0,0,0,0,0,1,0,2
Bill O'Reilly,Non Fiction,0,0,1,2,4,5,6,7,0,0,0
Bill Simmons,Non Fiction,1,0,0,0,0,0,0,0,0,0,0
Blue Star Coloring,Non Fiction,0,0,0,0,0,0,2,0,0,0,0
Bob Woodward,Non Fiction,0,0,0,0,0,0,0,0,0,1,0
Brandon Stanton,Non Fiction,0,0,0,0,1,2,3,0,0,0,0
Brené Brown,Non Fiction,0,0,0,0,1,0,0,0,0,0,0
Brian Kilmeade,Non Fiction,0,0,0,0,1,0,0,0,0,0,0
Bruce Springsteen,Non Fiction,0,0,0,0,0,0,0,1,0,0,0
Carol S. Dweck,Non Fiction,0,0,0,0,0,1,2,3,0,0,0
Celeste Ng,Fiction,0,0,0,0,0,0,0,0,0,1,0
Charlaine Harris,Fiction,1,3,4,0,0,0,0,0,0,0,0
Charles Duhigg,Non Fiction,0,0,0,1,0,0,0,0,0,0,0
Charles Krauthammer,Non Fiction,0,0,0,0,1,0,0,0,0,0,0
Cheryl Strayed,Non Fiction,0,0,0,1,0,0,0,0,0,0,0
Chip Gaines,Non Fiction,0,0,0,0,0,0,0,1,0,0,0
Chip Heath,Non Fiction,0,1,0,0,0,0,0,0,0,0,0
Chris Cleave,Fiction,0,1,0,0,0,0,0,0,0,0,0
Chris Kyle,Non Fiction,0,0,0,0,0,0,1,0,0,0,0
Chrissy Teigen,Non Fiction,0,0,0,0,0,0,0,1,0,0,0
Christina Baker Kline,Fiction,0,0,0,0,0,1,0,0,0,0,0
Christopher Paolini,Fiction,0,0,1,0,0,0,0,0,0,0,0
Coloring Books for Adults,Non Fiction,0,0,0,0,0,0,1,0,0,0,0
Craig Smith,Fiction,0,0,0,0,0,0,0,0,0,1,2
Crispin Boyer,Non Fiction,0,0,0,0,0,0,0,0,0,0,1
DK,Fiction,0,0,0,0,0,1,0,0,0,0,0
DK,Non Fiction,0,0,0,0,0,0,2,0,0,0,0
Dale Carnegie,Non Fiction,0,0,0,0,0,1,2,3,4,5,0
